0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
13,문과대학,국어국문학과,인문,31,"모집인원
(정원내)",,,,,,,,,,,,,,,,,,
13,13,영어영문학과,인문,45,31,,,,,,,,,,,,,,,,,,
13,13,중어중문학과,인문,29,45,,,,,,,,,,,,,,,,,,
13,13,철학과,인문,25,29,,,,,,,,,,,,,,,,,,
13,13,사학과,인문,25,25,,,,,,,,,,,,,,,,,,
13,13,지리학과,인문,25,25,,,,,,,,,,,,,,,,,,
13,13,미디어커뮤니케이션학과,인문,31,25,,,,,,,,,,,,,,,,,,
13,13,문화콘텐츠학과,인문,27,31,,,,,,,,,,,,,,,,,,
13,13,문과대학자유전공학부,인문,49,27,,,,,,,,,,,,,,,,,,
13,이과대학,수학과,자연,25,49,,,,,,,,,,,,,,,,,,
13,13,물리학과,자연,42,25,,,,,,,,,,,,,,,,,,
13,13,화학과,자연,25,42,,,,,,,,,,,,,,,,,,
13,13,이과대학자유전공학부,자연,24,25,,,,,,,,,,,,,,,,,,
13,건축대학,건축학부,자연,77,건축학부,,,,,,,,,,,,,,,,,,
13,공과대학,사회환경공학부,자연,101,사회환경공학부,,,,,,,,,,,,,,,,,,
13,13,기계·로봇·자동차공학부,자연,72,기계·로봇·자동차공학부,,,,,,,,,,,,,,,,,,
13,13,전기전자공학부,자연,122,전기전자공학부,,,,,,,,,,,,,,,,,,
13,13,화공학부,자연,63,화공학부,,,,,,,,,,,,,,,,,,
13,13,컴퓨터공학부,자연,102,컴퓨터공학부,,,,,,,,,,,,,,,,,,
14,단과대학,모집단위,계열,"모집인원
(정원내)",학과 및 전공,컴퓨터공학부,,,,,,,,,,,,,,,,,
14,공과대학,재료공학과,자연,55,"첨단융합
공학부",재료공학과,,,,,,,,,,,,,,,,,
14,14,항공우주·모빌리티공학과,자연,47,55,항공우주·모빌리티공학과,,,,,,,,,,,,,,,,,
14,14,생물공학과,자연,43,47,생물공학과,,,,,,,,,,,,,,,,,
14,14,산업공학과,자연,31,43,산업공학과,,,,,,,,,,,,,,,,,
14,14,신산업융합학과,인문,1,"산업경영
융합학부",신산업융합학과,,,,,,,,,,,,,,,,,
14,14,K뷰티산업융합학과,예체능,1,1,"산업경영
융합학부",,,,,,,,,,,,,,,,,
14,14,공과대학자유전공학부,자연,195,1,1,,,,,,,,,,,,,,,,,
14,사회과학대학,정치외교학과,인문,30,195,1,,,,,,,,,,,,,,,,,
14,14,경제학과,인문,72,30,195,,,,,,,,,,,,,,,,,
14,14,행정학과,인문,52,72,30,,,,,,,,,,,,,,,,,
14,14,국제무역학과,인문,60,52,72,,,,,,,,,,,,,,,,,
14,14,응용통계학과,인문,40,60,52,,,,,,,,,,,,,,,,,
14,14,사회과학대학융합전공학부,인문,75,40,60,,,,,,,,,,,,,,,,,
14,경영대학,경영학과,인문,147,75,40,,,,,,,,,,,,,,,,,
14,14,기술경영학과,인문,35,147,75,,,,,,,,,,,,,,,,,
14,부동산과학원,부동산학과,인문,38,35,147,,,,,,,,,,,,,,,,,
14,융합과학기술원,첨단바이오공학부,자연,47,첨단바이오공학부,35,,,,,,,,,,,,,,,,,
14,14,시스템생명공학과,자연,27,생명공학부,첨단바이오공학부,,,,,,,,,,,,,,,,,
14,14,융합생명공학과,자연,27,27,생명공학부,,,,,,,,,,,,,,,,,
14,14,융합과학기술원자유전공학부,자연,33,27,27,,,,,,,,,,,,,,,,,
14,생명과학대학,동물자원·식품과학·유통학부,자연,96,동물자원·식품과학·유통학부,27,,,,,,,,,,,,,,,,,
14,14,환경보건·산림조경학부,자연,52,환경보건·산림조경학부,동물자원·식품과학·유통학부,,,,,,,,,,,,,,,,,
14,14,생명과학특성학과,자연,32,52,환경보건·산림조경학부,,,,,,,,,,,,,,,,,
14,14,식량자원과학과,자연,31,32,52,,,,,,,,,,,,,,,,,
14,14,생명과학대학자유전공학부,자연,46,31,32,,,,,,,,,,,,,,,,,
15,단과대학,모집단위,계열,"모집인원
(정원내)",학과 및 전공,,,,,,,,,,,,,,,,,,
15,수의과대학,수의예과,자연,69,"모집인원
(정원내)",,,,,,,,,,,,,,,,,,
15,예술디자인대학,커뮤니케이션디자인학과,예체능,39,69,,,,,,,,,,,,,,,,,,
15,15,산업디자인학과,예체능,34,39,,,,,,,,,,,,,,,,,,
15,15,의상디자인학과-인문계,인문,17,34,,,,,,,,,,,,,,,,,,
15,15,의상디자인학과-예체능계,예체능,17,17,,,,,,,,,,,,,,,,,,
15,15,리빙디자인학과,예체능,45,17,,,,,,,,,,,,,,,,,,
15,15,현대미술학과,예체능,32,45,,,,,,,,,,,,,,,,,,
15,15,영상학과,예체능,35,32,,,,,,,,,,,,,,,,,,
15,15,매체연기학과,예체능,25,35,,,,,,,,,,,,,,,,,,
15,사범대학,일어교육과,인문,22,25,,,,,,,,,,,,,,,,,,
15,15,수학교육과,자연,25,22,,,,,,,,,,,,,,,,,,
15,15,체육교육과,예체능,38,25,,,,,,,,,,,,,,,,,,
15,15,음악교육과,예체능,20,38,,,,,,,,,,,,,,,,,,
15,15,교육공학과,인문,25,20,,,,,,,,,,,,,,,,,,
15,15,영어교육과,인문,20,25,,,,,,,,,,,,,,,,,,
15,KU자유전공학부,KU자유전공학부,-,308,20,,,,,,,,,,,,,,,,,,
15,합계,※ 2023학년도 이월 인원 24명 포함,KU자유전공학부,"3,024",308,,,,,,,,,,,,,,,,,,
16,단과대학,모집단위,계열,"수시모집
인원",수시모집,308,없음,없음,없음,없음,없음,없음,없음,,,,,,,,,,
16,16,단과대학,모집단위,계열,"학생부
교과",학생부종합,308,없음,없음,없음,논술,실기/실적,없음,,,,,,,,,,
16,16,16,단과대학,모집단위,"KU
지
역
균
형","KU
자
기
추
천","사
회
통
합","특
성
화
고
교
졸
업
자
★","특
성
화
고
졸
재
직
자
★","특
수
교
육
대
상
자","KU
논
술
우
수
자","KU
연
기
우
수
자","KU
체
육
특
기
자",,,,,,,,,,
16,문과대학,국어국문학과,인문,25,3,15,2,"사
회
통
합","특
성
화
고
교
졸
업
자
★",8,5,"KU
논
술
우
수
자","KU
연
기
우
수
자",,,,,,,,,,
16,16,영어영문학과,인문,39,5,29,2,2,"사
회
통
합","특
성
화
고
교
졸
업
자
★",3,5,"KU
논
술
우
수
자",,,,,,,,,,
16,16,중어중문학과,인문,24,4,13,2,2,2,"사
회
통
합",5,3,5,,,,,,,,,,
16,16,철학과,인문,22,3,15,1,2,2,2,3,5,3,,,,,,,,,,
16,16,사학과,인문,21,3,14,1,1,2,2,3,3,5,,,,,,,,,,
16,16,지리학과,인문,22,3,15,1,1,1,2,3,3,3,,,,,,,,,,
16,16,미디어커뮤니케이션학과,인문,26,6,13,1,1,1,1,6,3,3,,,,,,,,,,
16,16,문화콘텐츠학과,인문,21,4,13,1,1,1,1,3,6,3,,,,,,,,,,
16,16,문과대학자유전공학부,인문,49,35,4,13,1,1,1,14,3,6,,,,,,,,,,
16,이과대학,수학과,자연,17,3,5,1,13,1,1,8,14,3,,,,,,,,,,
16,16,물리학과,자연,30,4,13,2,1,13,1,11,8,14,,,,,,,,,,
16,16,화학과,자연,16,3,8,1,2,1,13,4,11,8,,,,,,,,,,
16,16,이과대학자유전공학부,자연,24,13,3,8,1,2,1,11,4,11,,,,,,,,,,
16,건축대학,건축학부,자연,39,8,19,3,1,1,2,8,11,4,,,,,,,,,,
16,공과대학,사회환경공학부,자연,60,10,35,4,1,1,1,10,8,11,,,,,,,,,,
16,16,기계·로봇·자동차공학부,자연,35,16,7,4,1,1,1,7,10,8,,,,,,,,,,
16,16,전기전자공학부,자연,58,11,31,4,1,1,1,11,7,10,,,,,,,,,,
16,16,화공학부,자연,33,6,16,4,1,1,1,6,11,7,,,,,,,,,,
16,16,컴퓨터공학부,자연,55,10,31,4,2,1,1,8,6,11,,,,,,,,,,
16,16,재료공학과,자연,30,5,15,4,1,2,1,5,8,6,,,,,,,,,,
16,16,항공우주·모빌리티공학과,자연,23,5,9,3,1,1,2,5,5,8,,,,,,,,,,
16,16,생물공학과,자연,27,4,13,2,1,1,1,7,5,5,,,,,,,,,,
16,16,산업공학과,자연,15,3,7,2,2,1,1,3,7,5,,,,,,,,,,
16,16,신산업융합학과,인문,100,15,3,7,2,100,1,1,3,7,,,,,,,,,,
16,16,K뷰티산업융합학과,예체능,30,100,15,3,7,30,100,1,1,3,,,,,,,,,,
16,16,공과대학자유전공학부,자연,135,100,100,15,3,7,30,35,1,1,,,,,,,,,,
17,단과대학,모집단위,계열,"수시모집
인원",수시모집,100,100,15,3,7,30,35,1,,,,,,,,,,
17,17,단과대학,모집단위,계열,"학생부
교과",학생부종합,100,100,15,3,논술,실기/실적,35,,,,,,,,,,
17,17,17,단과대학,모집단위,"KU
지
역
균
형","KU
자
기
추
천","사
회
통
합","특
성
화
고
교
졸
업
자
★","특
성
화
고
졸
재
직
자
★","특
수
교
육
대
상
자","KU
논
술
우
수
자","KU
연
기
우
수
자","KU
체
육
특
기
자",,,,,,,,,,
17,사회과학대학,정치외교학과,인문,18,3,9,1,1,"특
성
화
고
교
졸
업
자
★",8,4,"KU
논
술
우
수
자","KU
연
기
우
수
자",,,,,,,,,,
17,17,경제학과,인문,41,7,22,3,1,1,"특
성
화
고
교
졸
업
자
★",8,4,"KU
논
술
우
수
자",,,,,,,,,,
17,17,행정학과,인문,28,5,14,2,1,1,1,6,8,4,,,,,,,,,,
17,17,국제무역학과,인문,29,4,14,3,1,1,1,7,6,8,,,,,,,,,,
17,17,응용통계학과,인문,23,4,12,2,1,1,1,4,7,6,,,,,,,,,,
17,17,사회과학대학융합전공학부,인문,75,50,4,12,2,1,1,25,4,7,,,,,,,,,,
17,경영대학,경영학과,인문,83,15,47,4,1,2,4,16,25,4,,,,,,,,,,
17,17,기술경영학과,인문,21,4,10,2,1,1,2,4,16,25,,,,,,,,,,
