Page,0,1,2,3,4,5,6,7,8,9,10,11,12
17,,,,,,,,,,,,,
21,전형요소	및	반영비율	(%),대학수학능력시험 100,,,,,,,,,,,
21,전형총점,"1,000",,,,,,,,,,,
21,수능	최저학력기준,없음,,,,,,,,,,,
21,선발방법,"모집 군 및 모집단위 별 수능 반영 방법에 따른 평가 총점 순으로 최종 합격자 선발
(단, 의예과의 경우 면접 결격자는 전형 총점과 관계없이 선발하지 않음)",,,,,,,,,,,
21,동점자	처리기준,"① 대학수학능력시험의 국어, 수학, 탐구, 탐구 4개 과목 표준점수 합이 우수한 자
② 대학수학능력시험의 수학영역 표준점수가 우수한 자
③ 대학수학능력시험의 국어영역 표준점수가 우수한 자
④ 대학수학능력시험의 탐구영역 상위 1개 과목 표준점수가 우수한 자
⑤ 대학수학능력시험의 영어영역 등급이 우수한 자
⑥ 대학수학능력시험의 한국사 등급이 우수한 자
⑦ 학생부 석차등급 평균이 우수한 자 (학생부 없는 자는 비교내신 적용)",,,,,,,,,,,
22,모집단위,유형,국어,수학,탐구,영어,한국사,,,,,,
22,,,"화법과
언어와
작문
매체","확률과	
미적분
기하
통계","사회
과학",,,,,,,,
22,"글로벌융합학부, 사회과학계열,
글로벌경제학과, 의상학과",A,40,30,20,10,"감점
적용",,,,,,
22,,B,30,40,20,10,,,,,,,
22,"자유전공계열, 자연과학계열,
반도체시스템공학과, 약학과, 의예과",A,20,40,30,10,,,,,,,
22,,B,30,40,20,10,,,,,,,
22,모집단위,유형,국어,수학,탐구,영어,한국사,,,,,,
22,,,"화법과
언어와
작문
매체","확률과	
미적분
기하
통계","사회
과학",,,,,,,,
22,"인문과학계열, 경영학과,
글로벌리더학부, 영상학과",A,40,30,20,10,"감점
적용",,,,,,
22,,B,30,40,20,10,,,,,,,
22,"전자전기공학부
공학계열, 소프트웨어학과,
지능형소프트웨어학과,
건설환경공학부,
바이오신약·규제과학과",A,20,40,30,10,,,,,,,
22,,B,30,40,20,10,,,,,,,
23,모집단위,유형,국어,수학,탐구,영어,한국사,,,,,,
23,,,"화법과
언어와
작문
매체","확률과	
미적분
기하
통계","사회
과학",,,,,,,,
23,글로벌경영학과,A,40,30,20,10,"감점
적용",,,,,,
23,,B,30,40,20,10,,,,,,,
23,"글로벌바이오메디컬공학과,
반도체융합공학과, 에너지학과,  
양자정보공학과, 배터리학과",A,20,40,30,10,,,,,,,
23,,B,30,40,20,10,,,,,,,
23,시험장	발표,"2026. 1. 2. (금), 성균관대학교 입학처 홈페이지 (https://admission.skku.edu)",,,,,,,,,,,
23,면접시험일,2026. 1. 10. (토),,,,,,,,,,,
23,면접시험,"평가방법
배점",,,,,,,,,,,
23,,"① 의학을 전공하는데 필요한 자질, 적성과 인성을 평가
P/F
(결시자는 불합격 처리)
② 수험생 1명은 1개 면접실 (복수의 면접위원)에만 입실하며, 1명당 10분 내외로 진행함",,,,,,,,,,,
24,전형요소	및	반영비율	(%),대학수학능력시험 80 + 학교생활기록부 20,,,,,,,,,,,
24,전형총점,"1,000",,,,,,,,,,,
24,수능	최저학력기준,없음,,,,,,,,,,,
24,선발방법,"모집 군 및 모집단위 별 수능 반영 방법에 따른 반영점수 (800점 만점)와 학생부 평가 방법에 따른 반영
점수 (200점 만점)의 합산 총점 순으로 최종 합격자 선발",,,,,,,,,,,
24,동점자	처리기준,"① 대학수학능력시험의 국어, 수학, 탐구, 탐구 4개 과목 표준점수 합이 우수한 자
② 대학수학능력시험의 수학영역 표준점수가 우수한 자
③ 대학수학능력시험의 국어영역 표준점수가 우수한 자
④ 대학수학능력시험의 탐구영역 상위 1개 과목 표준점수가 우수한 자
⑤ 대학수학능력시험의 영어영역 등급이 우수한 자
⑥ 대학수학능력시험의 한국사 등급이 우수한 자
⑦ 학생부 석차등급 평균이 우수한 자 (학생부 없는 자는 비교내신 적용)",,,,,,,,,,,
25,모집단위,유형,국어,수학,탐구,영어,한국사,,,,,,
